dataset_code,detail_type,code,default_quantity,route_code,default_selected,display_order
000029,material,710010918,1,,0,50
000030,procedure,160092810,,,1,10
000030,procedure,160098210,,,0,20
000030,medicine,620003854,1,TOP,1,30
000030,medicine,620003852,5,TOP,0,40
000030,medicine,620004200,1,IV,1,50
000030,medicine,620004179,1,IV,0,60
000031,procedure,160092810,,,1,10
000031,procedure,160092970,,,1,20
000031,medicine,643310225,2,,1,30
000031,medicine,620003854,1,TOP,1,40
000031,medicine,620004200,1,IV,1,50
000031,medicine,620004179,1,IV,0,60
000032,procedure,160092810,,,1,10
000032,procedure,160148670,,,1,20
000032,medicine,620003854,1,TOP,1,30
000032,medicine,620004200,1,IV,1,40
000032,medicine,620004179,1,IV,0,50
000033,procedure,160092410,,,1,10
000033,medicine,620003854,1,TOP,0,20
000034,procedure,160092310,,,1,10
000034,medicine,620003854,1,TOP,0,20
000035,procedure,160187510,,,1,10
000036,procedure,160187710,,,1,10
000036,medicine,620003852,10,TOP,1,20
