code,name,display_order
101,擦過,10
116,穿刺、吸引,20
121,自然,30
126,経腎盂,40
131,経回腸導管,50
136,擦過洗浄,60
141,洗浄液,70
146,捺印,80
151,経PTCD,90
201,生検,100
216,TBLB,110
221,ポリペクトミー,120
226,EMR,130
231,ESD,140
236,TUR,150
241,掻爬,160
246,円錐切除,170
251,胸腔鏡下手術,180
256,腹腔鏡下手術,190
261,腫瘍核出,200
266,部分切除,210
271,全切除,220
276,リンパ節廓清,230
