set_item_code,member_item_code,display_order
SET-01,140005610,1
SET-01,140003810,2
SET-01,140022710,3
SET-02,140037510,1
SET-02,140037710,2
SET-03,140013810,1
SET-03,140013110,2
SET-04,140003210,1
SET-04,140004110,2
