2477,プロゲステロン製剤
2478,合成黄体ホルモン製剤
2479,その他の卵胞ホルモン及び黄体ホルモン剤
2481,男性ホルモン、卵胞ホルモン混合製剤
2482,卵胞ホルモン、黄体ホルモン混合製剤
2491,循環ホルモン剤
2492,すい臓ホルモン剤
2499,他に分類されないホルモン剤（抗ホルモン剤を含む）
2511,ヘキサミン系製剤
2519,その他の泌尿器官用剤
2521,生殖器官用抗生物質製剤
2529,その他の生殖器官用剤（性病予防剤を含む）
2531,バッカク類製剤
2559,その他の痔疾用剤
2590,その他の泌尿生殖器官及び肛門用薬
2611,塩素酸塩製剤；塩素酸カリウム等
2612,ヨウ素化合物；ヨードチンキ等
2614,過酸化物製剤；オキシドール、過マンガン酸カリウム等
2615,アルコール製剤
2616,石鹸類製剤
2619,その他の外皮用殺菌消毒剤
2633,外用サルファ製剤
2634,外用抗生物質製剤；ペニシリン軟膏等
2639,その他の化膿性疾患用剤
2641,サリチル酸メチル製剤
2642,外用抗ヒスタミン製剤
2643,アンモニア製剤
2645,ハッカゴム及びカンフルハッカ製剤
2646,副腎皮質ホルモン製剤
2647,抗生物質及び副腎皮質ホルモン混合製剤
2649,その他の鎮痛、鎮痒、収斂、消炎剤
2652,外用サリチル酸系製剤
2653,含硫有機化合物製剤；チアントール等
2654,タール製剤
2655,イミダゾール系製剤
2659,その他の寄生性皮膚疾患用剤
2661,有機酸製剤；トリクロル酢酸等
2662,アルカリ製剤；水酸化カリウム等
2663,金属製剤；硝酸銀等
2669,その他の皮膚軟化剤（腐食剤を含む）
2679,その他の毛髪用剤（発毛剤、脱毛剤、染毛剤、養毛剤）
2691,外用ビタミン製剤；ビタミン軟膏等
2699,他に分類されない外皮用薬
2710,歯科用局所麻酔剤
2760,歯科用抗生物質製剤
2790,その他の歯科口腔用薬
2900,その他の個々の器官系用医薬品
3111,合成ビタミンＡ製剤
3112,合成ビタミンＤ製剤
3113,肝油製剤（ビタミンＡ油製剤を含む）
3119,その他のビタミンＡ及びＤ剤
3121,ビタミンＢ１剤
3122,ビタミンＢ１誘導体製剤
3131,ビタミンＢ２剤
3132,ニコチン酸系製剤
3133,パントテン酸系製剤
3134,ビタミンＢ６剤
3135,葉酸製剤
3136,ビタミンＢ１２剤
3140,ビタミンＣ剤
3150,ビタミンＥ剤
3160,ビタミンＫ剤
3172,ビタミンＢ・Ｃ混合製剤
3179,その他の混合ビタミン剤（ビタミンＡ・Ｄ混合製剤を除く）
3190,その他のビタミン剤
3211,乳酸カルシウム製剤
3213,グルコン酸カルシウム製剤
3214,有機酸カルシウム製剤（乳酸・グリセロリン酸・グルコン酸カルシウム製剤を除く）；果糖リン酸カルシウム等
3215,ハロゲン化カルシウム製剤；塩化カルシウム、臭化カルシウム等
3219,その他のカルシウム剤
3221,ヨウ素化合物製剤；ヨウ化カリウム、ヨードカゼイン等
3222,鉄化合物製剤（有機酸鉄を含む）
3229,その他の無機質製剤
3231,ブドウ糖製剤
3232,果糖製剤
3233,マルトース製剤
3234,キシリトール製剤
3239,その他の糖類剤
3253,混合アミノ酸製剤
3259,その他のたん白アミノ酸製剤
3272,マルツエキス製剤
3279,その他の乳幼児用剤
3291,アルコール性内用製剤
3299,他に分類されない滋養強壮薬
3311,生理食塩液類
3319,その他の血液代用剤
3321,カルバゾクロム系製剤
3322,ゼラチン製剤
3323,臓器性止血製剤
3326,アルギン酸系製剤
3327,抗プラスミン剤
3329,その他の止血剤
3331,輸血用クエン酸ナトリウム製剤
3332,ジクマロール系製剤
3334,ヘパリン製剤
3339,その他の血液凝固阻止剤
3399,他に分類されない血液・体液用薬
3410,人工腎臓透析用剤
3420,腹膜透析用剤
3919,その他の肝臓疾患用剤
3921,ＥＤＴＡ製剤
3922,グルタチオン製剤
