set_item_code,member_item_code,display_order
SET-01,160068410,1
SET-01,160062610,2
SET-01,160062710,3
SET-02,160068410,1
SET-02,160072510,2
SET-02,160071550,3
SET-03,160062610,1
SET-03,160062710,2
SET-03,160064010,3
SET-04,160078010,1
SET-04,160079410,2
SET-04,160155910,3
SET-05,160076810,1
SET-05,160076710,2
